ts,mu_pred,sigma_pred,pred_for_ts,symbol,horizon,close_t,ret_pred_lo,ret_pred_hi,price_pred_median,price_pred_lo,price_pred_hi
2017-09-16 00:00:00+00:00,-0.004605612984671401,0.0609334330855807,2017-09-17 00:00:00+00:00,BTCUSDT,1,3714.95,-0.12403514183240956,0.11482391586306677,3697.8797177734223,3281.5966165427158,4166.96992500146
2017-09-17 00:00:00+00:00,-0.004735777571288316,0.060927576299528996,2017-09-18 00:00:00+00:00,BTCUSDT,1,3699.99,-0.12415382711836515,0.11468227197578851,3682.5090958521027,3267.9938327267496,4149.601846010384
2017-09-18 00:00:00+00:00,-0.0005812121334361361,0.06266034552501201,2017-09-19 00:00:00+00:00,BTCUSDT,1,4035.01,-0.12339548936245967,0.1222330650955874,4032.6654846258552,3566.601888996162,4559.631665386072
2017-09-19 00:00:00+00:00,-0.0018433339607647158,0.06288236750092106,2017-09-20 00:00:00+00:00,BTCUSDT,1,3910.04,-0.12509277426256998,0.12140610634104056,3902.8391293237582,3450.2780771287635,4414.761050812593
2017-09-20 00:00:00+00:00,-0.0015051907999692972,0.06284825155552193,2017-09-21 00:00:00+00:00,BTCUSDT,1,3900.0,-0.12468776384879228,0.12167738224885367,3894.1341715830713,3442.8127228689646,4404.619759175944
2017-09-21 00:00:00+00:00,-0.003438109036502517,0.0642574792758646,2017-09-22 00:00:00+00:00,BTCUSDT,1,3609.99,-0.12938276841719715,0.12250655034419211,3597.599772440968,3171.8729007223064,4080.467448654692
2017-09-22 00:00:00+00:00,-0.003756733138592193,0.06423381786752534,2017-09-23 00:00:00+00:00,BTCUSDT,1,3595.87,-0.12965501615894187,0.12214154988175747,3582.3866185994198,3158.6064974488513,4063.0239618279656
2017-09-23 00:00:00+00:00,-0.0027314262038926115,0.06484596657109312,2017-09-24 00:00:00+00:00,BTCUSDT,1,3780.0,-0.1298295206832351,0.1243666682754499,3769.689296822118,3319.7666321882207,4280.58926094102
2017-09-24 00:00:00+00:00,-0.005318153305617224,0.06435508835881815,2017-09-25 00:00:00+00:00,BTCUSDT,1,3660.02,-0.13145412648890079,0.12081781987766635,3640.607118632109,3209.1768954251597,4130.037272525876
2017-09-25 00:00:00+00:00,-0.0028331907563267553,0.06571227841791072,2017-09-26 00:00:00+00:00,BTCUSDT,1,3920.75,-0.13162925645543178,0.12596287494277825,3909.6574883627864,3437.1880355402054,4447.07171043928
2017-09-26 00:00:00+00:00,-0.0035756023203262085,0.06565540531800083,2017-09-27 00:00:00+00:00,BTCUSDT,1,3882.35,-0.13226019674360787,0.12510899210295542,3868.493048568872,3401.377319793415,4399.758409553518
2017-09-27 00:00:00+00:00,-0.0008878631003211452,0.06722496897212682,2017-09-28 00:00:00+00:00,BTCUSDT,1,4193.0,-0.13264880228568973,0.13087307608504742,4189.278842204151,3672.1145430137776,4779.278263835331
2017-09-28 00:00:00+00:00,-0.0015993666358687893,0.06713906040692741,2017-09-29 00:00:00+00:00,BTCUSDT,1,4174.5,-0.1331919250334465,0.12999319176170893,4167.828780263766,3653.9276795150454,4754.00671966787
2017-09-29 00:00:00+00:00,-0.003041637085455673,0.06658804037682091,2017-09-30 00:00:00+00:00,BTCUSDT,1,4174.69,-0.13355419622402467,0.1274709220531133,4162.011399700879,3652.7704527357873,4742.246772793044
2017-09-30 00:00:00+00:00,-0.0012757348977558193,0.06720059127497022,2017-10-01 00:00:00+00:00,BTCUSDT,1,4378.51,-0.13298889379669743,0.1304374240011858,4372.927743489639,3833.27523334682,4988.553100343282
